cv,carater,etapa,codigo,nome,carga_horaria,creditos,prerequisito
velho,Obrigatória,1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,6,NA
velho,Obrigatória,1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,6,NA
velho,Obrigatória,1,FIS01181,FÍSICA I-C,90,6,NA
velho,Obrigatória,1,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,60,4,NA
velho,Obrigatória,1,ECP99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,30,2,NA
velho,Obrigatória,1,MAT01375,MATEMÁTICA DISCRETA B,60,4,NA
velho,Obrigatória,2,MAT01355,ÁLGEBRA LINEAR I - A,60,4,MAT01353
velho,Obrigatória,2,INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,60,4,INF01107
velho,Obrigatória,2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,6,MAT01353
velho,Obrigatória,2,INF01203,ESTRUTURAS DE DADOS,60,4,INF01202
velho,Obrigatória,2,FIS01182,FÍSICA GERAL - ELETROMAGNETISMO,90,6,FIS01181; MAT01353
velho,Obrigatória,2,INF05508,LÓGICA PARA COMPUTAÇÃO,60,4,MAT01375
velho,Obrigatória,3,INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,60,4,INF01108
velho,Obrigatória,3,INF01058,CIRCUITOS DIGITAIS,60,4,INF01108; MAT01375
velho,Obrigatória,3,INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,60,4,INF01203
velho,Obrigatória,3,MAT01167,EQUAÇÕES DIFERENCIAIS II,90,6,MAT01354; MAT01355
velho,Obrigatória,3,FIS01183,FÍSICA III-C,90,6,FIS01182
velho,Obrigatória,4,ENG10001,CIRCUITOS ELÉTRICOS I - C,60,4,FIS01182; MAT01167
velho,Obrigatória,4,MAT01168,MATEMÁTICA APLICADA II,90,6,MAT01167
velho,Obrigatória,4,MAT02219,PROBABILIDADE E ESTATÍSTICA,60,4,MAT01353
velho,Obrigatória,4,INF01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,60,4,INF01124
velho,Obrigatória,4,INF05501,TEORIA DA COMPUTAÇÃO N,60,4,INF05508
velho,Eletiva,5,INF01146,AVALIAÇÃO DE DESEMPENHO,60,4,MAT02219
velho,Obrigatória,5,ENG10002,CIRCUITOS ELÉTRICOS II - C,60,4,ENG10001; MAT01168
velho,Obrigatória,5,INF01127,ENGENHARIA DE SOFTWARE N,60,4,INF01120
velho,Eletiva,5,INF01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,30,2,OBRIGA80
velho,Obrigatória,5,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,60,4,INF01058
velho,Obrigatória,5,INF01142,SISTEMAS OPERACIONAIS I N,60,4,INF01112; INF01203
velho,Obrigatória,5,ENG04010,TEORIA ELETROMAGNÉTICA E ONDAS,60,4,FIS01183; MAT01168
velho,Obrigatória,6,INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,60,4,ENG10001; INF01058
velho,Obrigatória,6,ENG04077,CIRCUITOS ELETRÔNICOS I,90,6,ENG10002
velho,Eletiva,6,INF01048,INTELIGÊNCIA ARTIFICIAL,60,4,INF01120; INF05508
velho,Obrigatória,6,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,30,2,ENG10002
velho,Obrigatória,6,INF01113,ORGANIZAÇÃO DE COMPUTADORES B,60,4,INF01175
velho,Obrigatória,6,INF01154,REDES DE COMPUTADORES N,90,6,INF01142; MAT02219
velho,Eletiva,6,ENG10017,SISTEMAS E SINAIS,90,6,MAT01168
velho,Obrigatória,6,INF01151,SISTEMAS OPERACIONAIS II N,60,4,INF01142
velho,Eletiva,7,INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,60,4,INF01113
velho,Eletiva,7,MAT01169,CÁLCULO NUMÉRICO,90,6,INF01203; MAT01167
velho,Eletiva,7,ENG04078,CIRCUITOS ELETRÔNICOS II,60,4,ENG10002; ENG04077
velho,Obrigatória,7,INF01147,COMPILADORES,60,4,INF05501
velho,Obrigatória,7,INF01194,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,60,4,INF01175; INF01185
velho,Eletiva,7,INF01001,ESPECIFICAÇÃO FORMAL N,60,4,INF05501
velho,Eletiva,7,INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,60,4,MAT01354; MAT01355
velho,Eletiva,7,INF01209,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,60,4,INF01142
velho,Eletiva,7,ENG10032,MICROCONTROLADORES,30,2,ENG04077; INF01112
velho,Eletiva,7,INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,60,4,INF01124
velho,Eletiva,7,INF01008,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA,60,4,INF01120; INF01151
velho,Eletiva,7,ENG10004,SISTEMAS DE CONTROLE I - B,60,4,ENG10017
velho,Eletiva,7,INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,60,4,MAT01375
velho,Eletiva,8,INF01017,APRENDIZADO DE MÁQUINA,60,4,INF01120; MAT01168
velho,Eletiva,8,ENG04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,60,4,ENG04010; ENG04078
velho,Eletiva,8,ENG04055,CIRCUITOS INTEGRADOS ANALÓGICOS,60,4,INF01185
velho,Eletiva,8,INF05515,COMPLEXIDADE DE ALGORITMOS - B,60,4,INF01124; INF05501; INF05512
velho,Adicional,8,ECO02254,ECONOMIA A,60,4,OBRIGA100
velho,Eletiva,8,INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,60,4,MAT01354; MAT02219
velho,Eletiva,8,ENG10005,LABORATÓRIO DE CONTROLE,30,2,ENG10004
velho,Eletiva,8,INF01002,PROTOCOLOS DE COMUNICAÇÃO,60,4,INF01154
velho,Eletiva,8,ENG10026,ROBÓTICA A,60,4,ENG10017; ENG10032
velho,Eletiva,8,INF01018,SISTEMAS OPERACIONAIS DISTRIBUÍDOS E DE REDES,60,4,INF01151
velho,Eletiva,8,INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,60,4,OBRIGA100
velho,Eletiva,8,ENG04041,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO III,30,2,OBRIGA100
velho,Eletiva,8,INF05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,30,2,OBRIGA100
velho,Adicional,9,ADM01134,ADMINISTRAÇÃO E FINANÇAS,60,4,OBRIGA100
velho,Eletiva,9,INF01205,CAD PARA SISTEMAS DIGITAIS,60,4,INF01120; INF01175
velho,Eletiva,9,INF01005,COMUNICAÇÃO DE DADOS,60,4,INF01154
velho,Eletiva,9,ENG10051,DINÂMICA E CONTROLE DE ROBÔS,60,4,ENG10004; ENG10026
velho,Eletiva,9,ENG04457,INSTRUMENTAÇÃO A,60,4,ENG04077; MAT02219
velho,Eletiva,9,ENG10052,LABORATÓRIO DE ROBÓTICA,30,2,ENG10026
velho,Eletiva,9,ENG04476,MICROPROCESSADORES II,75,5,ENG10032
velho,Eletiva,9,INF01034,ROBÓTICA II,60,4,ENG04077; INF01120; MAT01168
velho,Eletiva,9,INF01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,4,INF01154
velho,Eletiva,9,ENG10019,SISTEMAS DE CONTROLE DIGITAIS,60,4,ENG10004
velho,Eletiva,9,ENG10018,SISTEMAS DE CONTROLE II,60,4,ENG10004
velho,Adicional,9,HUM04020,SOCIEDADE DA INFORMAÇÃO,60,4,OBRIGA100
velho,Eletiva,9,ENG04034,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO II,60,4,OBRIGA100
velho,Eletiva,9,INF01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,30,2,OBRIGA100
velho,Eletiva,9,INF05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,30,2,OBRIGA100
velho,Eletiva,10,ENG04063,DISPOSITIVOS SEMICONDUTORES,60,4,ENG04010; INF01185
velho,Eletiva,10,INF01032,EMPREENDIMENTO EM INFORMÁTICA,60,4,OBRIGA100
velho,Adicional,10,INF01213,FOTOGRAFIA COMPUTACIONAL,60,4,INF01046
velho,Eletiva,10,INF01145,FUNDAMENTOS DE BANCO DE DADOS,60,4,INF01124
velho,Eletiva,10,INF01015,GERÊNCIA E APLICAÇÕES EM REDES,60,4,INF01154
velho,Eletiva,10,EDU03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),30,2,OBRIGA140
velho,Eletiva,10,ENG04434,PRINCÍPIOS DE COMUNICAÇÃO,60,4,ENG04010; ENG04077; ENG0017
velho,Eletiva,10,ENG04477,PROCESSAMENTO DIGITAL DE SINAIS,60,4,ENG10017; ENG10032
velho,Eletiva,10,INF01059,SISTEMAS EMBARCADOS,60,4,INF01058; INF01142
velho,Eletiva,10,ENG04057,TESTE DE SISTEMAS ELETRÔNICOS,60,4,INF01113; INF01185
velho,Adicional,10,INF05026,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,60,4,OBRIGA100
velho,Eletiva,0,INF01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,60,4,INF01046
velho,Eletiva,0,INF01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,60,4,INF01127
